tier,step,rows_in,rows_out,ts
agg,256.0,40960.0,40.0,2026/01/16-22:13:48.027
agg,257.0,40960.0,40.0,2026/01/16-22:13:48.043
agg,258.0,40960.0,40.0,2026/01/16-22:13:48.055
agg,259.0,40960.0,40.0,2026/01/16-22:13:48.069
agg,260.0,40960.0,40.0,2026/01/16-22:13:48.084
agg,261.0,40960.0,40.0,2026/01/16-22:13:49.000
agg,262.0,40960.0,40.0,2026/01/16-22:13:49.015
agg,263.0,40960.0,40.0,2026/01/16-22:13:49.031
agg,264.0,40960.0,40.0,2026/01/16-22:13:49.046
agg,265.0,57360.0,56.0,2026/01/16-22:13:49.065
agg,266.0,65516.0,64.0,2026/01/16-22:13:49.087
agg,267.0,40960.0,40.0,2026/01/16-22:13:50.000
agg,268.0,40960.0,40.0,2026/01/16-22:13:50.015
agg,269.0,40960.0,40.0,2026/01/16-22:13:50.030
agg,270.0,40960.0,40.0,2026/01/16-22:13:50.043
agg,271.0,40960.0,40.0,2026/01/16-22:13:50.058
agg,272.0,40960.0,40.0,2026/01/16-22:13:50.073
agg,273.0,40960.0,40.0,2026/01/16-22:13:50.087
agg,274.0,40960.0,40.0,2026/01/16-22:13:51.000
agg,275.0,40960.0,40.0,2026/01/16-22:13:51.016
agg,276.0,57360.0,56.0,2026/01/16-22:13:51.034
agg,277.0,260120.0,258.0,2026/01/16-22:15:55.089
agg,278.0,177290.0,174.0,2026/01/16-22:15:55.090
agg,279.0,177530.0,175.0,2026/01/16-22:15:55.090
agg,280.0,177590.0,176.0,2026/01/16-22:15:56.000
agg,281.0,178810.0,178.0,2026/01/16-22:15:56.015
agg,282.0,178210.0,176.0,2026/01/16-22:15:56.028
agg,283.0,178330.0,176.0,2026/01/16-22:15:56.042
agg,284.0,178350.0,176.0,2026/01/16-22:15:56.054
agg,285.0,177510.0,176.0,2026/01/16-22:15:56.069
agg,286.0,177570.0,176.0,2026/01/16-22:15:56.084
agg,287.0,254170.0,252.0,2026/01/16-22:15:57.003
agg,288.0,259919.0,258.0,2026/01/16-22:15:57.029
agg,289.0,177590.0,175.0,2026/01/16-22:15:57.042
agg,290.0,177530.0,175.0,2026/01/16-22:15:57.057
agg,291.0,177710.0,175.0,2026/01/16-22:15:57.072
agg,292.0,177710.0,175.0,2026/01/16-22:15:57.088
agg,293.0,178550.0,177.0,2026/01/16-22:15:58.000
agg,294.0,178850.0,178.0,2026/01/16-22:15:58.015
agg,295.0,177590.0,175.0,2026/01/16-22:15:58.030
agg,296.0,177550.0,175.0,2026/01/16-22:15:58.045
agg,297.0,178780.0,178.0,2026/01/16-22:15:58.058
agg,298.0,254030.0,252.0,2026/01/16-22:15:58.081
agg,299.0,260089.0,258.0,2026/01/16-22:15:59.007
agg,300.0,177430.0,176.0,2026/01/16-22:15:59.020
agg,301.0,178140.0,176.0,2026/01/16-22:15:59.035
agg,302.0,178750.0,177.0,2026/01/16-22:15:59.048
agg,303.0,177970.0,176.0,2026/01/16-22:15:59.062
agg,304.0,178510.0,176.0,2026/01/16-22:15:59.075
agg,305.0,178350.0,176.0,2026/01/16-22:15:59.087
agg,306.0,178680.0,177.0,2026/01/16-22:16:00.000
agg,307.0,178760.0,177.0,2026/01/16-22:16:00.013
agg,308.0,178200.0,176.0,2026/01/16-22:16:00.030
agg,309.0,254130.0,253.0,2026/01/16-22:16:00.052
agg,310.0,259760.0,257.0,2026/01/16-22:16:00.076
agg,311.0,177330.0,174.0,2026/01/16-22:16:00.092
agg,312.0,178490.0,178.0,2026/01/16-22:16:01.005
agg,313.0,178490.0,178.0,2026/01/16-22:16:01.018
agg,314.0,178480.0,178.0,2026/01/16-22:16:01.031
agg,315.0,177690.0,174.0,2026/01/16-22:16:01.046
agg,316.0,178580.0,178.0,2026/01/16-22:16:01.058
agg,317.0,177530.0,175.0,2026/01/16-22:16:01.073
agg,318.0,177760.0,175.0,2026/01/16-22:16:01.088
agg,319.0,178550.0,178.0,2026/01/16-22:16:02.001
agg,320.0,252830.0,250.0,2026/01/16-22:16:02.022
agg,321.0,259859.0,258.0,2026/01/16-22:16:02.046
agg,322.0,177490.0,176.0,2026/01/16-22:16:02.059
agg,323.0,178470.0,177.0,2026/01/16-22:16:02.072
agg,324.0,177570.0,176.0,2026/01/16-22:16:02.087
agg,325.0,178790.0,177.0,2026/01/16-22:16:03.003
agg,326.0,178500.0,177.0,2026/01/16-22:16:03.015
agg,327.0,177590.0,176.0,2026/01/16-22:16:03.030
agg,328.0,177860.0,177.0,2026/01/16-22:16:03.045
agg,329.0,178630.0,177.0,2026/01/16-22:16:03.058
agg,330.0,178670.0,177.0,2026/01/16-22:16:03.070
agg,331.0,252680.0,250.0,2026/01/16-22:16:03.091
agg,332.0,259619.0,257.0,2026/01/16-22:16:04.018
agg,333.0,177500.0,176.0,2026/01/16-22:16:04.032
agg,334.0,178730.0,176.0,2026/01/16-22:16:04.045
agg,335.0,177720.0,176.0,2026/01/16-22:16:04.060
agg,336.0,177730.0,176.0,2026/01/16-22:16:04.075
agg,337.0,178380.0,176.0,2026/01/16-22:16:04.090
agg,338.0,177740.0,176.0,2026/01/16-22:16:05.005
agg,339.0,177770.0,176.0,2026/01/16-22:16:05.020
agg,340.0,177710.0,176.0,2026/01/16-22:16:05.035
agg,341.0,177760.0,176.0,2026/01/16-22:16:05.050
agg,342.0,253360.0,251.0,2026/01/16-22:16:05.076
agg,343.0,260010.0,258.0,2026/01/16-22:16:05.097
agg,344.0,177450.0,176.0,2026/01/16-22:16:06.011
agg,345.0,177540.0,176.0,2026/01/16-22:16:06.026
agg,346.0,178970.0,178.0,2026/01/16-22:16:06.042
agg,347.0,177650.0,176.0,2026/01/16-22:16:06.057
agg,348.0,177700.0,176.0,2026/01/16-22:16:06.072
agg,349.0,177620.0,176.0,2026/01/16-22:16:06.088
agg,350.0,177660.0,176.0,2026/01/16-22:16:07.003
agg,351.0,177520.0,176.0,2026/01/16-22:16:07.018
agg,352.0,177660.0,176.0,2026/01/16-22:16:07.034
agg,353.0,254010.0,252.0,2026/01/16-22:16:07.059
agg,354.0,260510.0,258.0,2026/01/16-22:16:07.080
agg,355.0,177540.0,175.0,2026/01/16-22:16:07.093
agg,356.0,178520.0,176.0,2026/01/16-22:16:08.006
agg,357.0,177500.0,175.0,2026/01/16-22:16:08.022
agg,358.0,178400.0,176.0,2026/01/16-22:16:08.035
agg,359.0,177580.0,176.0,2026/01/16-22:16:08.051
agg,360.0,177850.0,176.0,2026/01/16-22:16:08.066
agg,361.0,178620.0,176.0,2026/01/16-22:16:08.079
agg,362.0,177590.0,175.0,2026/01/16-22:16:08.094
agg,363.0,178490.0,176.0,2026/01/16-22:16:09.007
